name,age,nationality,height_cm,weight_kgs,body_type,positions,acceleration,sprint_speed,agility,dribbling,ball_control,short_passing,long_passing,vision,finishing,positioning,interceptions,standing_tackle,sliding_tackle,strength,stamina,crossing,heading_accuracy,volleys,curve,freekick_accuracy,shot_power,jumping,long_shots,aggression,marking,reactions,balance,composure,penalties,overall_rating,potential,value_euro,wage_euro,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),potential_level,growth_index,strength_index,attacking_score,midfield_score,defensive_score,recommended_role
A. Trebel,28,France,175.26,73.9,Normal,CM,79,75,77,75,77,77,79,77,59,72,74,74,70,69,82,75,33,71,73,75,80,77,76,80,67,78,87,75,55,78,79,11500000.0,23000.0,1,2,4,Medium,1,74.0,71.5,78.75,71.75,Midfielder
S. Milewski,20,Poland,175.26,76.2,Normal,CDM,54,58,58,51,55,62,56,53,30,50,58,59,59,58,57,48,50,32,42,43,48,60,45,55,59,57,69,57,54,59,68,210000.0,1000.0,1,2,2,Medium,9,50.6,44.75,57.0,58.5,Defender
F. Forster,30,England,200.66,93.0,Normal,GK,26,35,32,20,33,27,19,44,13,13,22,13,12,80,29,19,13,19,10,19,36,59,12,40,11,69,42,56,22,74,74,3600000.0,29000.0,2,5,1,Medium,0,26.6,20.5,29.75,31.75,Defender
R. Yamasaki,26,Japan,187.96,79.8,Normal,ST,52,56,51,51,58,41,30,53,64,56,20,22,21,76,54,31,65,56,34,36,66,59,55,61,28,60,49,48,53,61,63,325000.0,1000.0,1,2,2,Low,2,52.6,59.25,44.5,34.75,Attacker
Pedro Obiang,26,Equatorial Guinea,185.42,74.8,Lean,"CDM,CM",64,66,68,74,76,77,79,78,50,60,76,78,77,75,76,68,70,60,56,62,74,72,65,71,72,69,63,76,59,77,79,9000000.0,65000.0,2,3,3,Medium,2,71.0,64.5,77.5,76.5,Midfielder
M. Kegel,29,Germany,182.88,82.1,Stocky,"CM,CDM",62,62,51,60,64,67,67,71,56,65,67,62,51,64,71,65,52,55,65,68,53,55,63,52,62,70,61,65,61,67,67,750000.0,1000.0,1,3,3,Low,0,65.0,58.5,69.0,61.0,Midfielder
T. Kane,25,England,154.94,69.9,Normal,"RB,LM",78,74,65,67,65,64,58,58,44,61,64,68,70,58,74,65,50,35,47,39,65,65,52,65,65,66,69,64,50,68,73,1000000.0,9000.0,1,2,3,Medium,5,61.4,59.25,63.5,65.0,Defender
N. Kirby,19,England,172.72,66.2,Lean,CAM,72,71,81,61,63,69,61,51,43,47,24,41,39,50,63,41,34,34,41,46,42,56,40,42,39,44,86,54,49,59,79,325000.0,3000.0,1,3,3,Medium,20,57.4,48.25,61.0,38.5,Midfielder
R. Gagliardini,24,Italy,190.5,77.1,Lean,"CDM,CM",68,68,64,75,77,78,75,73,54,68,80,78,76,71,85,64,73,68,68,38,76,64,73,74,77,72,62,74,40,78,82,11500000.0,46000.0,2,2,3,High,4,73.0,68.25,77.75,76.25,Midfielder
Pol García,24,Spain,182.88,74.8,Normal,"CB,LB",63,66,58,55,62,61,62,55,22,22,67,68,70,69,49,59,69,27,41,33,49,74,37,71,68,58,55,66,52,69,75,1200000.0,5000.0,1,3,2,Medium,6,48.4,37.0,56.75,68.5,Defender
D. Iorfa,23,England,193.04,78.0,Lean,"RB,RWB,CB",83,88,59,62,61,62,60,56,25,54,64,67,64,79,69,63,60,24,37,24,47,48,26,76,60,58,40,55,31,67,70,800000.0,8000.0,1,2,2,Medium,3,54.8,47.0,61.75,68.5,Defender
Júnior Negão,32,Brazil,187.96,83.0,Normal,"ST,RW",68,69,63,66,70,65,58,57,73,67,23,33,34,76,68,41,67,70,64,52,68,52,55,73,34,62,53,53,69,69,69,950000.0,5000.0,1,2,3,Medium,0,65.8,68.5,62.0,41.5,Attacker
A. Carroll,30,England,193.04,78.9,Normal,ST,43,49,57,67,74,66,57,65,77,78,45,46,43,92,50,60,91,74,53,42,83,83,76,88,26,77,47,76,73,76,76,7500000.0,75000.0,2,3,2,Medium,0,65.0,76.25,59.5,56.5,Attacker
J. Kramer,22,Netherlands,190.5,76.2,Lean,CB,56,66,55,45,58,48,51,34,21,34,59,62,61,74,50,23,59,34,41,34,59,68,34,61,63,56,51,49,46,63,69,425000.0,2000.0,1,2,2,Medium,6,39.6,39.75,45.75,64.0,Defender
A. Kann,28,United States,193.04,86.2,Lean,GK,42,44,30,12,20,27,32,54,12,17,24,13,17,75,42,13,18,19,18,12,21,61,15,30,10,62,41,46,21,66,68,525000.0,2000.0,1,3,1,Medium,2,29.4,15.5,38.75,32.25,Midfielder
O. Solbakken,20,Norway,185.42,82.1,Lean,"RW,LW",67,65,62,57,63,55,44,47,52,54,34,32,28,66,65,62,32,38,57,33,62,46,42,35,32,45,64,53,53,57,67,160000.0,1000.0,1,3,2,Low,10,55.2,56.25,52.75,40.0,Attacker
S. Downing,34,England,154.94,64.0,Lean,"LM,LW,RW",64,64,72,68,75,73,74,74,64,70,42,26,36,63,70,74,62,70,80,72,74,42,72,36,45,68,73,68,68,71,71,1400000.0,32000.0,2,3,3,Medium,0,69.8,69.0,72.75,41.75,Midfielder
Xavi Molina,32,Spain,182.88,78.0,Normal,"RB,CB",66,65,68,61,64,67,66,61,43,58,68,70,66,72,71,60,72,33,49,42,58,65,45,78,67,69,64,68,37,68,68,575000.0,5000.0,1,3,2,Medium,0,60.6,55.0,66.25,69.0,Defender
S. Kobayashi,27,Japan,175.26,71.2,Normal,"RM,RB",69,68,70,58,63,63,62,68,43,56,39,55,54,64,80,69,49,41,60,50,58,73,43,50,46,58,73,57,45,64,64,475000.0,1000.0,1,3,2,Low,0,62.4,53.75,68.25,53.0,Midfielder
A. Al Bishi,24,Saudi Arabia,172.72,73.0,Normal,"RM,LM,RW",87,87,86,64,62,57,53,58,52,58,28,26,31,64,74,60,42,52,56,59,61,77,49,53,21,57,71,56,51,64,69,600000.0,7000.0,1,3,2,Medium,5,61.0,58.75,60.5,37.25,Midfielder
Pité,24,Portugal,187.96,78.0,Lean,LB,59,58,58,69,71,62,56,58,42,66,64,67,64,72,61,62,64,45,56,41,71,63,47,65,61,69,52,63,54,65,70,600000.0,1000.0,1,2,3,Medium,5,58.4,62.0,59.25,66.75,Defender
A. Gürleyen,19,Germany,193.04,89.8,Stocky,CB,55,55,54,35,40,52,50,30,27,27,51,58,53,79,60,39,60,33,31,32,62,68,37,80,45,46,50,43,39,58,75,250000.0,1000.0,1,3,2,Medium,17,40.8,37.75,48.0,60.25,Defender
M. Carreazo,21,Venezuela,175.26,62.1,Lean,CM,78,69,86,58,62,68,51,70,31,70,35,38,41,37,79,37,62,38,31,39,53,56,36,56,42,47,84,69,38,59,69,250000.0,1000.0,1,3,2,Medium,10,61.2,53.0,67.0,37.75,Midfielder
L. Lollo,31,Argentina,182.88,84.8,Normal,CB,34,30,40,37,55,60,32,30,25,33,66,71,68,74,40,34,74,28,27,29,42,82,25,71,73,66,47,68,67,70,70,1200000.0,11000.0,1,2,2,Medium,0,38.4,34.25,40.5,69.75,Defender
S. Madden,30,Republic of Ireland,175.26,74.8,Normal,"RB,RWB",83,75,67,62,59,60,51,58,38,69,55,64,62,75,88,64,55,54,60,55,56,57,38,66,61,55,69,59,45,65,65,400000.0,1000.0,1,3,2,Low,0,61.2,56.25,64.25,64.0,Midfielder
A. Smárason,30,Iceland,182.88,76.2,Normal,"CAM,RM",62,68,66,62,66,64,61,61,60,64,55,53,49,76,74,62,55,63,65,62,74,75,68,68,43,67,72,62,68,65,65,525000.0,2000.0,1,4,2,Low,0,64.2,65.0,65.0,58.25,Attacker
J. Ferreira,18,Colombia,172.72,64.0,Lean,ST,71,69,76,55,54,49,25,46,58,53,17,19,11,39,45,26,44,40,31,27,51,62,50,26,26,52,80,45,57,54,76,150000.0,1000.0,1,3,2,Medium,22,50.6,54.25,41.25,21.5,Attacker
M. Guel,19,Ivory Coast,172.72,79.8,Normal,RW,81,80,79,62,56,47,43,43,55,54,23,24,23,45,48,53,34,49,47,42,58,38,41,33,26,47,83,47,61,57,76,220000.0,1000.0,1,3,2,Medium,19,51.0,57.25,45.25,28.75,Attacker
E. Gliha,22,Slovenia,182.88,76.2,Normal,"LB,LM,CAM",70,71,69,57,62,65,67,64,35,59,58,60,61,68,67,72,47,62,75,75,72,70,67,57,59,57,67,55,50,63,70,450000.0,2000.0,1,3,2,Medium,7,57.6,55.75,65.75,61.75,Midfielder
Zhao Yuhao,25,China PR,154.94,78.9,Normal,"CDM,CB,CM",65,61,57,49,59,62,59,53,30,57,65,66,62,69,78,34,58,45,35,36,44,73,44,65,65,63,72,55,45,65,71,625000.0,4000.0,1,2,2,Medium,6,54.4,45.0,63.0,65.5,Defender
F. Hurtado,35,Chile,187.96,89.8,Normal,GK,46,45,39,13,11,29,19,30,19,11,21,19,16,53,27,19,12,13,12,20,17,72,14,20,13,54,50,56,18,64,64,110000.0,1000.0,1,2,1,Low,0,23.6,15.0,26.25,27.25,Defender
Raphael Rossi,28,Brazil,187.96,83.9,Normal,CB,55,47,52,46,52,58,42,41,37,39,72,74,69,88,56,38,79,33,37,22,33,76,35,75,55,70,48,68,37,71,72,2200000.0,18000.0,1,1,2,Medium,1,47.6,38.75,49.25,75.75,Defender
S. Jung,28,Germany,152.4,72.1,Normal,RB,69,68,68,71,74,75,74,64,42,53,72,73,72,66,47,78,61,44,70,45,72,73,54,76,75,72,75,74,44,71,71,1900000.0,24000.0,2,4,3,Medium,0,59.8,59.5,65.0,70.75,Defender
M. Rossmann,23,Germany,193.04,89.8,Normal,CB,44,48,46,27,46,42,36,33,25,28,58,69,66,90,64,25,66,35,26,23,43,35,27,68,68,58,35,48,34,66,74,825000.0,2000.0,1,3,2,Medium,8,38.2,30.75,43.75,70.75,Defender
G. Papunashvili,23,Georgia,152.4,76.2,Normal,"RM,CAM",70,72,68,72,70,66,65,66,66,67,28,34,37,64,61,67,43,59,66,70,65,44,67,40,35,59,67,73,66,68,75,1300000.0,4000.0,1,1,3,Medium,7,66.2,67.5,64.5,40.75,Attacker
A. Correa,34,Colombia,154.94,73.9,Normal,CB,76,67,69,50,60,67,64,45,45,50,77,70,67,86,84,30,76,27,30,28,65,65,40,70,76,71,79,76,65,74,74,2300000.0,3000.0,1,3,2,Medium,0,58.2,52.5,65.0,75.0,Defender
K. Ford,23,United States,187.96,83.9,Lean,"CB,RB",64,71,59,39,43,50,27,34,29,27,60,65,61,84,68,25,60,26,18,23,30,77,16,77,62,62,58,48,38,65,74,725000.0,2000.0,1,2,2,Medium,9,44.0,31.25,44.75,67.5,Defender
Dario Junior,27,Brazil,154.94,72.1,Lean,RW,93,87,89,72,67,62,62,61,63,62,20,25,22,51,65,62,48,44,60,32,62,47,46,43,19,60,72,73,46,68,68,950000.0,3000.0,1,5,4,Medium,0,64.6,64.75,62.5,29.5,Attacker
F. Torres,29,Chile,154.94,78.0,Stocky,CB,60,58,48,38,45,65,59,32,21,29,48,71,58,71,72,41,72,29,32,29,45,66,19,71,63,48,62,50,36,64,65,400000.0,1000.0,1,3,2,Low,1,45.6,33.25,57.0,62.0,Defender
Y. Al Musallam,31,Saudi Arabia,182.88,83.9,Normal,CB,39,32,34,27,35,35,30,35,19,28,53,60,59,81,81,25,72,25,22,24,38,74,18,74,56,63,47,55,37,61,61,170000.0,3000.0,1,3,2,Low,0,39.4,28.0,45.25,63.25,Defender
N. Daghfous,32,Tunisia,152.4,77.1,Normal,"RM,LM,ST",83,75,81,72,67,67,56,62,61,62,49,46,40,70,74,64,50,66,74,63,80,67,68,74,50,60,78,73,59,68,68,775000.0,3000.0,1,4,3,Medium,0,67.2,68.75,64.75,51.25,Attacker
P. Sussek,19,Germany,175.26,68.0,Lean,"CAM,RM",75,67,79,68,61,58,47,58,46,55,21,21,26,45,48,53,40,45,41,43,57,56,43,40,26,54,78,42,47,60,77,425000.0,2000.0,1,3,3,Medium,17,55.6,56.5,52.75,28.25,Attacker
T. Vlietinck,21,Belgium,152.4,69.9,Lean,RM,83,80,63,67,68,66,58,60,55,64,50,52,41,40,62,70,58,66,62,58,58,73,52,32,60,64,74,67,54,68,77,1400000.0,7000.0,1,4,3,Medium,9,62.0,61.0,61.5,45.75,Midfielder
Kwon Kyung Won,27,Korea Republic,187.96,83.0,Normal,"CB,CDM",68,47,69,57,59,63,59,61,34,57,57,69,66,80,71,55,66,32,36,36,47,72,30,68,66,63,44,48,41,67,70,800000.0,7000.0,1,2,2,Medium,3,57.2,48.75,63.5,68.0,Defender
Li Peng,28,China PR,187.96,79.8,Lean,CB,49,54,51,25,35,45,40,26,20,24,55,63,62,75,86,30,72,20,32,23,52,74,22,70,56,52,52,50,30,62,64,300000.0,3000.0,1,2,2,Low,2,40.4,30.25,49.25,63.75,Defender
Gorosabel,22,Spain,175.26,73.0,Lean,RB,63,68,64,53,66,68,58,35,38,45,71,69,67,56,64,61,62,39,58,33,46,58,41,59,66,72,71,54,38,68,77,1200000.0,7000.0,1,3,2,Medium,9,51.6,45.5,56.25,65.75,Defender
P. Herrmann,30,Germany,152.4,83.9,Normal,RB,69,64,65,51,56,57,56,31,19,28,67,70,75,69,73,60,47,23,59,28,35,77,20,70,64,60,68,52,20,66,66,475000.0,5000.0,1,2,2,Low,0,46.2,33.25,54.25,70.25,Defender
F. Marković,27,Serbia,154.94,78.0,Normal,"RM,LM",70,72,64,64,63,63,62,58,60,57,51,54,47,56,57,63,59,60,63,60,63,54,63,61,31,56,65,46,60,63,63,400000.0,2000.0,1,3,2,Low,0,60.4,61.0,60.0,52.0,Attacker
Lee Ji Nam,34,Korea Republic,182.88,69.9,Lean,CB,59,56,62,33,54,57,55,59,35,53,65,65,64,70,61,52,70,39,46,48,42,70,37,61,60,62,63,58,48,65,65,220000.0,2000.0,1,3,2,Low,0,49.0,40.75,58.0,66.0,Defender
E. Sosa,22,Venezuela,170.18,74.8,Normal,CAM,75,71,78,72,66,67,56,66,56,65,27,38,40,53,65,45,37,51,63,62,71,54,65,63,49,61,79,71,57,67,74,1100000.0,3000.0,1,3,3,Medium,7,65.2,66.0,63.5,39.5,Attacker
P. McNair,23,Northern Ireland,182.88,72.1,Lean,"CDM,CM,CB",63,64,58,66,66,69,66,62,53,58,71,72,72,76,61,43,72,45,49,36,66,78,58,76,73,69,63,66,43,70,78,2300000.0,22000.0,1,3,3,Medium,8,62.2,60.75,64.5,72.75,Defender
R. Bedoui,29,Tunisia,187.96,77.1,Lean,"CB,RB",65,73,68,56,62,63,63,41,41,38,68,71,64,76,66,55,67,34,42,41,51,73,47,68,61,66,68,59,45,68,69,825000.0,8000.0,1,3,2,Medium,1,53.4,46.5,58.25,69.75,Defender
B. Bese,24,Hungary,187.96,83.9,Normal,RB,74,85,59,64,63,65,54,32,47,63,56,65,62,79,88,64,54,26,32,29,65,51,58,68,60,66,57,60,44,67,71,825000.0,3000.0,1,3,3,Medium,4,59.2,59.75,59.75,65.5,Defender
M. Phaeton,19,France,185.42,74.8,Normal,ST,72,75,64,65,62,56,48,49,62,51,16,16,20,72,67,34,59,61,60,40,63,64,59,63,20,53,58,50,68,62,77,625000.0,2000.0,1,3,2,Medium,15,59.8,60.25,55.0,31.0,Attacker
M. Colin,27,France,154.94,76.2,Normal,"RB,LB",75,76,73,68,70,64,66,54,20,58,68,73,70,71,77,69,64,35,70,39,60,91,26,73,69,68,68,65,41,71,72,2300000.0,17000.0,1,4,3,Medium,1,56.6,51.5,65.25,70.5,Defender
P. Mazzocchi,23,Italy,154.94,73.9,Lean,"RB,RM",74,76,62,68,61,64,58,50,55,51,57,60,57,60,65,62,55,48,53,40,62,60,45,63,60,58,66,54,55,63,70,425000.0,1000.0,1,2,2,Medium,7,60.4,59.0,59.25,58.5,Midfielder
G. Taft,25,England,190.5,73.9,Normal,CB,54,56,57,42,51,59,53,46,33,40,58,58,60,77,79,44,62,36,39,38,45,70,30,59,48,58,73,58,33,60,63,220000.0,2000.0,1,3,2,Low,3,51.8,40.0,59.25,63.25,Defender
F. Azemi,26,Norway,185.42,81.2,Normal,"ST,RM,RW",76,79,70,62,63,56,51,51,57,61,46,34,35,71,63,54,60,54,54,49,64,90,53,56,25,64,70,60,58,63,65,450000.0,1000.0,1,3,2,Low,2,57.8,61.0,55.25,46.5,Attacker
R. Zentner,24,Germany,193.04,96.2,Stocky,GK,65,65,30,13,19,30,26,22,14,10,18,17,13,81,28,17,18,15,14,16,23,60,13,38,21,69,45,32,25,71,79,2600000.0,10000.0,1,3,1,Medium,8,21.4,15.0,26.5,32.25,Defender
F. Poli,29,Italy,185.42,74.8,Lean,CB,68,65,70,43,47,47,39,24,13,19,64,69,64,78,71,25,73,12,11,13,33,90,13,59,65,62,62,64,20,67,67,600000.0,2000.0,1,3,2,Low,0,39.6,27.0,45.25,68.75,Defender
P. Möschl,26,Austria,175.26,68.0,Normal,"RW,RM,LM",84,84,82,67,65,61,53,64,56,66,33,32,26,57,62,66,50,37,65,61,67,73,49,52,52,63,85,62,38,66,68,775000.0,6000.0,1,3,3,Medium,2,62.0,64.0,60.0,37.0,Attacker
J. Anibaba,30,United States,182.88,77.1,Lean,"CB,RB,LB",59,65,67,49,56,63,57,43,29,36,66,62,65,75,74,58,64,39,50,45,68,75,56,67,67,66,61,58,43,67,67,600000.0,3000.0,1,3,2,Low,0,51.6,45.5,59.25,67.0,Defender
S. Ibeagha,27,Nigeria,187.96,84.8,Normal,CB,73,73,38,46,44,65,55,32,22,20,55,65,66,77,60,30,63,20,29,28,39,67,22,61,68,64,48,55,30,65,68,550000.0,2000.0,1,3,2,Medium,3,45.0,31.75,53.0,65.75,Defender
T. Kalas,25,Czech Republic,182.88,79.8,Stocky,CB,71,74,67,61,64,68,50,48,38,46,69,71,72,76,74,51,73,24,25,18,66,81,65,66,69,70,70,69,53,72,76,3400000.0,26000.0,1,3,2,Medium,4,57.8,52.75,60.0,72.0,Defender
R. Frosler,21,South Africa,172.72,68.9,Normal,"RB,LB",74,72,58,68,68,63,61,52,34,61,60,69,68,51,71,66,49,44,51,48,51,64,35,55,71,58,74,52,40,67,81,1500000.0,1000.0,1,4,3,Medium,14,57.6,53.5,61.75,62.0,Defender
K. Vermeer,33,Netherlands,154.94,78.0,Normal,GK,60,55,64,25,39,53,33,66,13,19,25,16,14,57,35,13,16,11,16,13,24,80,13,35,14,71,57,64,30,75,75,3800000.0,10000.0,2,4,1,Medium,0,38.4,20.25,46.75,28.0,Midfielder
J. Beaulieu,25,Canada,193.04,88.0,Normal,GK,21,22,34,6,11,20,22,33,4,4,14,14,16,78,31,16,12,8,15,12,20,40,8,16,7,45,27,38,17,54,59,70000.0,1000.0,1,2,1,Low,5,18.8,8.5,26.5,30.5,Defender
D. Sosa,21,Argentina,152.4,73.9,Normal,LB,68,67,65,66,69,67,66,57,53,63,59,66,63,71,81,68,46,34,56,32,56,54,71,59,59,54,52,60,48,65,72,650000.0,3000.0,1,3,3,Medium,7,64.8,59.5,67.75,64.75,Midfielder
Fabrício Baiano,26,Brazil,152.4,74.8,Stocky,"CDM,CM",66,63,65,63,68,69,64,47,51,37,69,73,70,75,78,51,53,40,44,41,59,84,47,83,70,71,76,57,35,71,73,2400000.0,7000.0,1,3,2,Medium,2,61.6,52.5,64.5,71.75,Defender
T. Bifouma,26,Congo,154.94,79.8,Normal,"RM,ST",93,94,92,77,75,67,56,65,72,71,34,23,19,71,67,67,58,62,50,45,81,91,64,64,24,72,73,62,56,74,75,6500000.0,14000.0,1,4,4,Medium,1,69.6,75.25,63.75,36.75,Attacker
E. Burgos,27,Argentina,190.5,79.8,Lean,CB,46,43,54,48,54,58,45,32,23,32,72,69,68,85,77,32,69,29,33,26,58,48,27,71,69,69,43,60,54,70,73,1800000.0,6000.0,1,3,2,Medium,3,47.6,40.25,53.0,73.5,Defender
J. McCourt,23,England,152.4,68.0,Normal,"CM,CDM",67,69,55,50,61,63,61,58,46,48,59,61,63,63,75,50,50,47,52,53,72,65,60,80,55,59,73,53,46,61,66,325000.0,3000.0,1,3,2,Low,5,58.4,54.0,64.25,61.5,Midfielder
P. Djilobodji,30,Senegal,193.04,82.1,Normal,CB,66,66,48,42,57,63,67,50,32,38,72,74,76,81,68,22,71,23,27,55,72,77,66,80,64,62,47,54,27,72,72,2400000.0,16000.0,1,3,2,Medium,0,51.0,46.0,62.0,75.75,Defender
B. Chibani,20,Belgium,182.88,71.2,Lean,CM,66,68,69,65,66,64,63,54,50,55,53,52,54,58,63,49,53,46,55,50,57,67,47,59,55,59,66,49,47,61,72,425000.0,1000.0,1,3,3,Medium,11,59.2,56.75,61.0,54.25,Midfielder
R. Martínez,35,Argentina,182.88,81.2,Lean,CM,69,57,70,70,73,77,71,75,68,74,55,70,53,71,68,66,55,66,77,55,73,64,75,71,50,72,62,71,41,73,73,1700000.0,12000.0,1,3,3,Medium,0,71.6,71.25,72.75,62.25,Midfielder
B. Gilmour,17,Scotland,172.72,68.0,Lean,"CM,CAM",66,56,75,64,62,69,70,66,48,55,46,45,47,32,50,56,50,59,58,54,48,60,50,54,41,51,82,64,49,61,84,550000.0,7000.0,1,3,3,High,23,59.4,53.75,63.75,42.5,Midfielder
M. Čovilo,32,Serbia,193.04,87.1,Normal,"CDM,CB",50,55,34,56,64,68,66,54,46,62,70,69,65,90,57,54,72,44,43,57,54,86,56,62,58,66,35,63,49,67,67,450000.0,3000.0,1,2,2,Low,0,56.2,54.5,61.25,73.5,Defender
T. Pett,27,England,172.72,69.9,Lean,"CAM,CM,LM",75,71,86,63,62,65,58,61,55,58,33,49,45,49,75,60,37,51,59,56,57,65,61,35,48,59,82,70,56,64,64,475000.0,5000.0,1,4,3,Low,0,63.8,58.25,64.75,44.0,Midfielder
R. Žulj,27,Austria,187.96,88.9,Lean,"CF,CAM,ST",53,53,55,76,77,75,71,72,71,74,28,19,27,77,65,65,66,70,68,70,76,79,72,46,47,70,61,71,55,72,73,3700000.0,25000.0,1,3,3,Medium,1,71.8,74.25,70.75,37.75,Attacker
N. Redmond,25,England,172.72,68.9,Lean,"LM,RW",86,83,90,81,79,72,61,72,66,73,22,26,30,43,69,72,33,55,69,65,80,43,75,38,23,64,88,68,57,75,79,8500000.0,36000.0,2,3,4,Medium,4,72.0,75.0,68.5,30.25,Attacker
T. Dieng,26,France,187.96,78.9,Normal,"CDM,CM",53,52,54,58,61,64,60,60,38,48,58,64,63,83,70,45,62,36,48,39,56,65,43,65,62,60,57,50,50,64,66,450000.0,2000.0,1,2,2,Low,2,58.0,50.0,63.5,67.0,Defender
B. Martella,26,Italy,182.88,78.0,Normal,"LB,LM",76,72,58,67,69,71,73,62,50,66,63,62,68,67,88,77,44,35,66,43,65,73,71,62,59,66,57,59,33,69,71,1100000.0,2000.0,1,2,3,Medium,2,67.6,62.0,73.5,65.0,Midfielder
Alexo Baia,31,Brazil,175.26,71.2,Normal,"RB,RW",74,77,81,77,71,77,74,56,51,55,71,76,77,61,80,72,66,39,51,52,34,65,51,81,77,75,72,73,66,76,76,5500000.0,25000.0,1,3,3,Medium,0,68.2,54.25,71.75,71.25,Midfielder
J. McArthur,31,Scotland,152.4,66.2,Normal,"CM,RM,LM",63,59,72,70,77,78,74,72,68,75,73,72,70,71,79,66,66,53,54,61,65,64,61,88,70,80,77,80,64,76,76,7000000.0,48000.0,1,3,3,Medium,0,73.4,69.5,75.75,71.5,Midfielder
Park Chang Jun,22,Korea Republic,175.26,64.9,Normal,RB,75,74,79,49,47,52,44,38,27,46,62,59,58,36,64,55,42,20,27,33,20,64,26,47,58,57,76,63,39,60,68,260000.0,1000.0,1,2,2,Medium,8,46.0,35.5,49.5,53.75,Defender
G. Corral,28,Mexico,172.72,76.2,Lean,RB,71,72,66,63,65,66,64,50,48,51,65,65,67,67,73,67,62,38,70,55,63,62,64,57,63,66,58,60,63,68,68,750000.0,4000.0,1,4,3,Medium,0,60.0,56.25,63.25,66.0,Defender
J. Spruce,19,Wales,182.88,78.0,Normal,ST,55,55,55,40,50,38,30,41,58,52,19,11,18,61,54,32,46,36,37,32,50,69,41,34,18,46,60,47,63,51,64,70000.0,1000.0,1,3,2,Low,13,46.2,50.0,40.75,27.25,Attacker
K. Walker-Peters,21,England,175.26,64.0,Lean,"RB,LB",77,72,69,73,68,68,62,57,35,63,69,70,69,59,75,71,62,25,50,31,31,74,41,70,70,69,81,70,32,71,80,3200000.0,29000.0,1,4,3,Medium,9,61.6,50.5,65.5,66.75,Defender
Kike García,29,Spain,185.42,78.9,Normal,ST,65,66,65,75,80,72,49,65,78,82,37,34,21,79,71,56,80,81,42,46,82,74,75,71,35,77,54,80,70,79,79,13000000.0,32000.0,1,4,3,Medium,0,72.2,79.25,64.25,42.75,Attacker
Carlos,23,Brazil,175.26,66.2,Normal,"ST,LW,CAM",74,74,71,77,75,70,64,66,75,75,17,15,21,40,68,46,66,59,47,42,68,73,65,33,43,75,76,55,70,72,79,4400000.0,7000.0,1,3,3,Medium,7,71.2,73.75,67.0,23.25,Attacker
F. Rieder,22,Austria,175.26,68.9,Lean,"CM,CDM",65,72,70,64,60,63,51,57,45,48,55,55,39,50,82,39,41,34,57,41,48,72,43,52,52,62,78,43,35,60,68,300000.0,2000.0,1,3,2,Medium,8,62.2,51.25,63.25,49.75,Midfielder
J. Pia,18,Germany,170.18,74.8,Normal,ST,66,62,51,61,44,52,35,52,54,42,14,11,15,60,57,28,45,54,44,29,57,58,53,33,15,54,62,45,64,53,72,120000.0,1000.0,1,3,2,Medium,19,55.2,53.5,49.0,25.0,Attacker
O. Shevchenko,27,Ukraine,187.96,81.2,Normal,GK,32,15,35,11,16,28,29,48,7,8,13,18,16,72,22,14,14,9,10,14,22,50,8,22,11,65,33,28,10,70,72,1500000.0,1000.0,1,3,1,Medium,2,23.2,12.0,31.75,29.75,Midfielder
A. Adam,24,Saudi Arabia,152.4,72.1,Lean,ST,76,74,70,62,60,57,34,52,67,64,16,11,11,65,69,35,64,56,42,37,62,88,55,36,16,52,69,48,68,64,71,650000.0,5000.0,1,3,2,Medium,7,61.4,63.75,53.0,25.75,Attacker
D. van de Beek,21,Netherlands,182.88,73.9,Normal,"CAM,CM",66,65,70,74,78,78,74,76,75,77,72,59,52,75,82,67,59,76,66,62,77,70,80,68,64,76,58,78,55,77,83,12500000.0,14000.0,2,4,3,High,6,77.0,75.75,77.5,64.5,Midfielder
R. Al Mousa,24,Saudi Arabia,152.4,67.1,Normal,CM,63,61,72,57,62,65,61,61,43,52,64,65,63,68,66,45,41,39,48,45,49,61,39,50,65,55,74,64,47,61,68,350000.0,3000.0,1,3,2,Medium,7,58.4,50.25,63.25,65.0,Defender
K. Froese,22,Canada,152.4,77.1,Normal,"CAM,CM,LM",69,67,78,62,63,68,56,55,56,59,56,60,54,60,69,49,50,44,59,35,62,64,55,64,58,62,76,45,43,63,70,525000.0,5000.0,1,2,3,Medium,7,62.0,59.75,62.0,57.5,Midfielder
Pablo Pérez,25,Spain,187.96,78.9,Lean,"CAM,RM,ST,LM",58,62,68,67,70,71,69,67,64,69,54,48,47,69,72,60,76,63,67,60,64,75,61,40,49,64,44,63,78,68,72,1200000.0,4000.0,1,3,3,Medium,4,68.2,66.0,69.75,54.5,Midfielder
Léo Bonatini,24,Brazil,182.88,83.0,Normal,ST,68,69,67,72,73,70,64,69,68,75,33,28,31,74,72,65,68,69,67,63,77,70,66,63,32,73,64,74,72,72,73,3800000.0,41000.0,1,4,3,Medium,1,70.2,73.0,68.75,41.5,Attacker
O. Çelik,27,Turkey,182.88,78.9,Normal,"CDM,CM",54,54,59,61,66,65,64,49,39,44,55,69,58,73,77,45,70,43,40,31,70,73,46,73,58,57,60,62,41,64,65,450000.0,4000.0,1,3,2,Low,1,58.2,53.5,63.75,63.75,Midfielder
